"null","Sourced","Placed","References","Value","Footprint","DigikeyPartNumber","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Quantity"
1,"","","C9, C10, C11, C12, C13, C14, C15, C18, C29","4.7u","C0805","399-15708-2-ND","KEMET","C0805C475J8RACAUTO","80-C0805C475J8RAUTO",9
2,"","","C25, C26, C27, C28, C30, C31, C38, C39, C42","0.1uF","CAPC1005X55N","490-10777-2-ND","Murata Electronics","GRM155R71A104JA01D","81-GRM155R71A104JA1D",9
3,"","","C36, C37, C41","0.01u","CAPC1005X56N","478-KGM05AR71A103JHTR-ND","AVX","0402ZC103JAT2A","581-0402ZC103JAT2A",3
4,"","","C1, C2","20pF","C0603","399-C0603C200G8HAC7867TR-ND","KEMET","C0603C200G8HACTU","80-C0603C200G8HACTU",2
5,"","","C3, C8","0.1u","C0805","399-C0805C104J8RAC7800TR-ND","KEMET","C0805C104J8RACTU","80-C0805C104J8R",2
6,"","","C4, C5","1u","CAPC2012X140N","478-KGM21AR71A105JUTR-ND","AVX","0805ZC105JAT2A","581-0805ZC105JAT2A",2
7,"","","C6","22u","CAPC2012X75N","1276-2910-2-ND","SAMSUNG","CL21A226MPQNNNE","187-CL21A226MPQNNNE",1
8,"","","C33","10uF","CAPC2012X140N","1276-1096-2-ND","SAMSUNG","CL21A106KOQNNNE","187-CL21A106KOQNNNE",1
9,"","","R4, R12, R13, R14, R16, R18, R19, R21, R22","10k","RESC2012X50N","541-CRCW080510K0JNECTR-ND","Vishay","CRCW080510K0JNEC","71-CRCW080510K0JNEC",9
10,"","","R1, R15","5.1 kOhms","RESC1005X40N","511-ESR01MZPF5101TR-ND","ROHM Semiconductor","ESR01MZPF5101","755-ESR01MZPF5101 ",2
11,"","","R10",320,"RESC1005X40N","2019-RN73H1ETTP3200D25TR-ND","KOA Speer","RN73H1ETTP3200D25","660-RN73H1ETP3200D25",1
12,"","","R11",22,"RESC2012X60N","CR0805-FX-22R0ELFTR-ND","Bourns","CR0805-FX-22R0ELF","652-CR0805FX-22R0ELF",1
13,"","","D103","USBLC6-2SC6Y","SOT95P280X145-6N","497-11882-2-ND","STMicroelectronics","USBLC6-2SC6Y","511-USBLC6-2SC6Y",1
14,"","","Y1","25MHz","ATS25ASM1E","CTX1144TR-ND","CTS","ATS25ASM-1E","774-ATS25ASM-1E",1
15,"","","F1","Polyfuse_Small","FUSC4632X110N","507-1772-2-ND","Bel Fuse","0ZCG0150AF2C","530-0ZCG0150AF2C",1
16,"","","(AND_Gate)IC6","74AUP1G09GW-Q100H","SOT65P212X110-5N","1727-74AUP1G09GW-Q100HTR-ND","Nexperia","74AUP1G09GW-Q100H","771-74AUP1G09GWQ100H",1
17,"","","(BidirectionalLogicLevelShifter)IC4","TXB0104PWR","SOP65P640X120-14N","296-21929-2-ND","Texas Instruments","TXB0104PWR","595-TXB0104PWR",1
18,"","","(LDORegulator)IC1","AP2112K-3.3TRG1","SOT95P282X130-5N","AP2112K-3.3TRG1DITR-ND","Diodes Incorporated","AP2112K-3.3TRG1","621-AP2112K-3.3TRG1",1
19,"","","IC1","AZ1084CD-5.0TRG1","AZ1084CD50TRG1","31-AZ1084CD-5.0TRG1TR-ND","Diodes Incorporated","AZ1084CD-5.0TRG1","621-AZ1084CD-5.0TRG1",1
20,"","","MCU1","STM32F446RET6TR","QFP50P1200X1200X160-64N","497-STM32F446RET6TR-ND","STMicroelectronics","STM32F446RET6TR","511-STM32F446RET6TR",1
21,"","","Q1","BC856A,215","SOT95P230X110-3N","1727-4242-2-ND","Nexperia","BC856A,215","771-BC856A-T/R",1
22,"","","Rotary_Encoder(20mm)_S4","PEC12R-3220F-S0024","PEC12R3220FS0024","PEC12R-3220F-S0024-ND","Bourns","PEC12R-3220F-S0024","652-PEC12R3220FS0024",1
23,"","","S6","On/On SPDT","SW_L102021ML04Q","CKC5102-ND","C&K","L102021ML04Q ","611-L102021ML04Q ",1
24,"","","Schottky/ReversPolProtec1","PMEG3020ER,115","SODFL3517X110N","1727-5206-2-ND","Nexperia","PMEG3020ER,115","771-PMEG3020ER115",1
25,"","","TVSDiode/ESDSuppr1","SMF6.0CA","SODFL3618X108N","18-SMF6.0CATR-ND","LITTELFUSE","SMF6.0CA","576-SMF6.0CA",1
26,"","","USB-C1","USB4800-03-A","USB480003A","2073-USB4800-03-ATR-ND","GCT (GLOBAL CONNECTOR TECHNOLOGY)","USB4800-03-A","640-USB4800-03-A",1
27,"","","J1","JTAG/SWD 10pins Headers","HUSSP10W40P127_2X5_635X340X420P","952-4189-2-ND","Harwin","M50-3600542R","855-M50-3600542R",1
