Designator,Footprint,Quantity,Value,LCSC Part #
(AND_Gate)IC6,SOT65P212X110-5N,1,74AUP1G09GW-Q100H,
(BidirectionalLogicLevelShifter)IC4,SOP65P640X120-14N,1,TXB0104PWR,
(LDORegulator)IC1,SOT95P282X130-5N,1,AP2112K-3.3TRG1,
(LF50ABDT-TR)-IC3,TO228P972X240-3N,1,5VOutput_VoltageRegulator,
"C1, C2",C0603,2,20pF,
"C10, C11, C12, C13, C14, C15, C18, C29, C9",C0805,9,4.7u,
"C25, C26, C27, C28, C30, C31, C32, C38, C39, C42",CAPC1005X55N,10,0.1uF,
"C3, C8",C0805,2,0.1u,
C33,CAPC2012X140N,1,10uF,
"C36, C37, C41",CAPC1005X56N,3,0.01u,
"C4, C5",CAPC2012X140N,2,1u,
"D1, D10, D100, D101, D102, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",SODFL3816X120N,102,D_Small,
D103,SOT95P280X145-6N,1,USBLC6-2SC6Y,
"H1, H3, H4, H5",MountingHole_5.5mm,4,MountingHole,
H2,MountingHole_7mm,1,MountingHole,
J1,HUSSP10W40P127_2X5_635X340X420P,1,JTAG/SWD 10pins Headers,
JSTPH4-PIN1,4392,1,4392,
"LED1, LED10, LED100, LED101, LED102, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED69, LED7, LED70, LED71, LED72, LED73, LED74, LED75, LED76, LED77, LED78, LED79, LED8, LED80, LED81, LED82, LED83, LED84, LED85, LED86, LED87, LED88, LED89, LED9, LED90, LED91, LED92, LED93, LED94, LED95, LED96, LED97, LED98, LED99",4684_ADA,102,4684,
MCU1,QFP50P1200X1200X160-64N,1,STM32F446RET6TR,
"MX1, MX10, MX100, MX101, MX102, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX46, MX47, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX55, MX56, MX57, MX58, MX59, MX6, MX60, MX62, MX63, MX65, MX66, MX67, MX68, MX69, MX7, MX70, MX71, MX72, MX73, MX74, MX75, MX76, MX77, MX78, MX8, MX80, MX81, MX82, MX83, MX84, MX85, MX86, MX87, MX88, MX89, MX9, MX90, MX92, MX93",SW_Cherry_MX_PCB_1.00u,90,MX_SW_solder,
MX45,SW_Cherry_MX_PCB_2.00u,1,MX_SW_solder,
MX48,SW_Cherry_MX_PCB_1.50u,1,MX_SW_solder,
MX61,SW_Cherry_MX_PCB_ISOEnter,1,MX_SW_solder,
"MX64, MX91",SW_Cherry_MX_PCB_1.75u,2,MX_SW_solder,
"MX79, MX94, MX95, MX96, MX98, MX99",SW_Cherry_MX_PCB_1.25u,6,MX_SW_solder,
MX97,SW_Cherry_MX_PCB_6.25u,1,MX_SW_solder,
Polyfuse1,1206L05015YR,1,500mA,
Q1,SOT95P230X110-3N,1,"BC856A,215",
"R1, R15",RESC1005X40N,2,5.1 kOhms,
R10,RESC1005X40N,1,320,
R11,RESC2012X50N,1,22,
"R12, R13, R14, R16, R18, R19, R21, R22, R4",RESC2012X50N,9,10k,
Rotary_Encoder(20mm)_S4,PEC12R3220FS0024,1,PEC12R-3220F-S0024,
"S1, S2",Stabilizer_Cherry_MX_2.00u,2,MX_stab,
S3,Stabilizer_Cherry_MX_6.25u,1,MX_stab,
S6,SW_L102021ML04Q,1,On/On SPDT,
Schottky/ReversPolProtec1,PMEG2010ER115,1,"PMEG2010ER,115",
TVSDiode/ESDSuppr1,SODFL3618X108N,1,SMF6.0CA,
USB-C1,USB480003A,1,USB4800-03-A,
Y1,ATS25ASM1E,1,25MHz,
